,User_SubFunctional_Area,User_Functional_Area,User_JobTitle,User_ProfileTitle,User_Industry,User_Experience (Years),User_Skills,Relevant_Degree,Releveant_Cert,Industry,Sector,Relevant_Skills,Relevant_Match_Score
10795,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant engineer,b.tech with 1 year exeprince in telecom,telecom   isp,6-12 exp,"telecom networks,html  hyper text markup language,php,gsm,,3g,telecommunications,ss7,cisco,resolution,,tcp ip,networkings",1,1,telecom,isp,0,0
10796,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant engineer,telecom engineer with 2 yrs experince,telecom   isp,6-12 exp,"3g,mcrnc; omr,mcrnc,ossrc,jboss",0,0,telecom,isp,0,0
10797,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant engineer,network engineer,telecom   isp,6-12 exp,"volte,wcdma,embedded systems,gsm,c;c++,keil; proteus,matlab,mapinfo,tems investigation 1",0,0,telecom,isp,1,0.76
10798,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant engineer,,telecom   isp,6-12 exp,"investigation,asp.net,",0,0,telecom,isp,0,0
10799,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant engineer,,telecom   isp,6-12 exp,ran implementation.,0,0,telecom,isp,0,0
10800,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant manager,assistant manager,telecom   isp,6-12 exp,"resolution,voip,gsm,tdma,ss7,engin,smtp,internet services",0,0,telecom,isp,0,0
10801,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant manager sales marketing,imt ghaziabad; pgdm   marketing 2012 14,telecom   isp,6-12 exp,"business development,analytical,market research,,advertising,,business strategy,crm,,marketing research,social media marketi,,business consulting,software development,retail category mana,competitive analysis,,social media",0,0,telecom,isp,0,0
10802,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant professor,,telecom   isp,6-12 exp,"digital design,embedded systems,xilinx,,vhdl",1,0,telecom,isp,1,0.76
10803,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant professor east point engineer college,kavita,telecom   isp,6-12 exp,"embedded systems,,vlsi",0,0,telecom,isp,1,1.0
10804,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate,marketing research associate,telecom   isp,6-12 exp,",,ms excel,ms power point",0,1,telecom,isp,0,0
10805,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate engineer,associate engineer,telecom   isp,6-12 exp,"cucm,sip,sip,cisco routers,cisco routers,network monitoring &,specialty,sql server   dba,,,,pcb designing,sip signalling,,cisco,resolution,networkings,tcp ip",0,1,telecom,isp,0,0
10806,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate engineer,associate engineer,telecom   isp,6-12 exp,"vrf,",0,0,telecom,isp,0,0
10807,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate engineer,recently qualified in gate exam with all india rank is 1075,telecom   isp,6-12 exp,"xilinx,tnms,,,sql   pl sql,strong oracle sql programming,c,c++,networkings",1,1,telecom,isp,0,0
10808,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate engineer transmission,associate network engineer,telecom   isp,6-12 exp,"network operation control,gnoc,resolution,,eosdh,vlsm",0,1,telecom,isp,0,0
10809,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate infrastructure management,fresher with master of engineering degree,telecom   isp,6-12 exp,"gsm,vrf,pdh,eosdh,jboss,bts installation,c programming; embed,verilog programming",1,0,telecom,isp,0,0
10810,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate network supprt engineer,2 year exp.resume,telecom   isp,6-12 exp,"cisco routers,resolution,mpls,network support engi,tnms,juniper",0,0,telecom,isp,0,0
10811,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate network technology,telecom engineer with 2 years of experience in telecom  gsm;cdma;rne support and rf support,telecom   isp,6-12 exp,"maintain huawei gsm,,,,microwave link manag,rf drive test,emf survey,,",0,0,telecom,isp,0,0
10812,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate technology,survey engineer,telecom   isp,6-12 exp,"c++,",0,0,telecom,isp,0,0
10813,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,av,electronics engineer,telecom   isp,6-12 exp,"av services,av operation&mainten,inverter&ups,fabrication&assembli,",0,0,telecom,isp,0,0
10814,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,av engineer,vc engineer,telecom   isp,6-12 exp,"audio visual equipment,audio visual equipment,,,",1,0,telecom,isp,0,0
10815,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,b.tech electrical year experience project engineer,m.tech in electrical with 2 years of experience as a project engineer,telecom   isp,6-12 exp,",piu,4gl",1,1,telecom,isp,0,0
10816,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,back operation,back and operation,telecom   isp,6-12 exp,"computer operatora,,operations back end,",0,0,telecom,isp,0,0
10817,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bss engineer,m.tech in vlsi 1.3 yr exp in telecom ccna gate qualified,telecom   isp,6-12 exp,"tcp ip,,fpga;xilinx;vhdl;tel,cisco,vlsi,cisco certified",1,1,telecom,isp,0,0
10818,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bss engineer,telecom engineer,telecom   isp,6-12 exp,"synchronous data hierarchy  sdh,plesiochronous digital hierarchy  pdh,,telecommunications e,rbs  ericsson,oss  ericsson system",0,0,telecom,isp,0,0
10819,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts engineer,deeep saxena,telecom   isp,6-12 exp,"rtcp,gsm,3g,quality engg,bts engg.,bts engg",0,0,telecom,isp,0,0
10820,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts engineer,,telecom   isp,6-12 exp,",telecomm,network engineer",0,0,telecom,isp,0,0
10821,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts engineer,bts engineeer,telecom   isp,6-12 exp,"bts engineer,jboss,nsn",0,0,telecom,isp,0,0
10822,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts engineer,,telecom   isp,6-12 exp,"networkings,pchardware,system administratio,",0,1,telecom,isp,1,0.78
10823,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts engineer,,telecom   isp,6-12 exp,"vlsi design,software testing,bts engineer",0,0,telecom,isp,0,0
10824,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts installation  and w upgradation.,,telecom   isp,6-12 exp,java;bts installatio,0,0,telecom,isp,0,0
10825,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts installation commissioning engineer,,telecom   isp,6-12 exp,",site survey",0,0,telecom,isp,0,0
10826,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts;rf;mw engineer,tej narayan resume,telecom   isp,6-12 exp,"gsm,hard labour,nsn;bihar,nsn,eosdh,pdh",0,0,telecom,isp,0,0
10827,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,caff auditor,,telecom   isp,6-12 exp,,0,0,it,hardwarenetworking,0,0
10828,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,callco ordinator,,telecom   isp,6-12 exp,"troubleshooting,",0,0,telecom,isp,0,0
10829,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,cco,,telecom   isp,6-12 exp,"basics,,,",0,0,telecom,isp,0,0
10830,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,central project manager,central project manager,telecom   isp,6-12 exp,",project planning,,oracle;java; auto ca,auto cad",0,0,telecom,isp,0,0
10831,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,classs edge coordinator,sagar,telecom   isp,6-12 exp,",electronics&communic,hrm,bts,emf,vrf,telecomm,tata class edge coor",1,0,telecom,isp,0,0
10832,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cluster manager,my resume,telecom   isp,6-12 exp,"team functioning skills,gsm,cluster manager",0,0,telecom,isp,0,0
10833,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,clusters engineer,telecom engineer,telecom   isp,6-12 exp,",bts new sdite integr,team leading quality",0,0,telecom,isp,0,0
10834,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,fresher b.tech holder seeking challenging opportunities field electronics telecom,a fresher b.tech holder seeking challenging opportunities in the field of electronics and telecom,telecom   isp,6-12 exp,"production,awareness,,,,",1,1,telecom,isp,0,0
10835,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,job,,telecom   isp,6-12 exp,"mobile technology,,microelectronics,,electrical systems;",1,0,telecom,isp,0,0
10836,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,switch engineer,work experience,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10837,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,year exp. network engineer noc team btech e  and tc;ccna certified,network engineer,telecom   isp,6-12 exp,", certified",0,1,telecom,isp,0,0
10838,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,research engineer,btech with 2+years experience in telecom industry,telecom   isp,6-12 exp,"c,vhdl,dsps,fpgas,c++,matlab",0,0,telecom,isp,0,0
10839,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,alarm operator.operation  and maintainance centre radio omcr,telecom engineer+fresher,telecom   isp,6-12 exp,",,",1,0,telecom,isp,0,0
10840,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,back office executive,,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10841,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bsc engineer,nitin raj,telecom   isp,6-12 exp,",bts,gsm,,,,mux,vrf",1,0,telecom,isp,0,0
10842,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss configuration engineer,,telecom   isp,6-12 exp,basics,0,0,telecom,isp,0,0
10843,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engg. o & m,telecom   isp,6-12 exp,"gsm,vrf,bss engg.,wcdma,kpi,",0,0,telecom,isp,0,0
10844,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engg,telecom   isp,6-12 exp,"investigation,dwdm,,4gl,commissionning,flexi bts",0,1,telecom,isp,0,0
10845,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engg,telecom   isp,6-12 exp,"rf;bts;emf;dt engg.,bts installation ;ip,,,bts ;i2pms;installat,navigation system;el,",0,0,telecom,isp,0,0
10846,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,telecom   isp,6-12 exp,",bts installation,,bts installation,,bts installation,,bts installation,",0,0,telecom,isp,0,0
10847,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,telecom   isp,6-12 exp,"gsm,,resolution",0,0,telecom,isp,0,0
10848,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,telecom   isp,6-12 exp,"gsm,redhat linux6.0,",0,0,telecom,isp,0,0
10849,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,telecom   isp,6-12 exp,",",1,0,telecom,isp,0,0
10850,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,telecom   isp,6-12 exp,"telecom networks,node b,pdh,,nec;mux,huwaei transmission,",1,0,telecom,isp,0,0
10851,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,b.tech  ece  ; bss engineer with one year experience,telecom   isp,6-12 exp,,1,0,telecom,isp,0,0
10852,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,cv for bts engineer in i&c,telecom   isp,6-12 exp,bss engineer,0,0,telecom,isp,0,0
10853,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,mba in operation with 2 years experience in project management,telecom   isp,6-12 exp,"six sigma,,,,advance excel",0,0,telecom,isp,0,0
10854,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,ramesh vaghela,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10855,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,telecom engineer,telecom   isp,6-12 exp,"matlab,php,,java",1,0,telecom,isp,0,0
10856,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,,telecom   isp,6-12 exp,3g;2g; ericsson rbs,0,0,telecom,isp,0,0
10857,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,,telecom   isp,6-12 exp,",fpgas,vrf,",1,0,telecom,isp,0,0
10858,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,,telecom   isp,6-12 exp,"law   telecommunications,itil,telecommunications,etom,jboss",0,0,telecom,isp,0,0
10859,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss  and engineer,,telecom   isp,6-12 exp,operation & maintene,0,0,telecom,isp,0,0
10860,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts commissioning enginner,telecom engineer  bts engineer  over 2 years experience.,telecom   isp,6-12 exp,"3g,4gl,2g emf,c,digital design",0,0,telecom,isp,0,0
10861,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer,b.tech with 2+ yrs of telecom experience,telecom   isp,6-12 exp,",resolution,gsm,tnms,pdh,eosdh",1,0,telecom,isp,0,0
10862,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer,network telecom engg.,telecom   isp,6-12 exp,"c,java,databases,,wireshark; nmap; pac,c;c++;java,steganography,networkings,bts installation,javascript,",0,0,telecom,isp,0,0
10863,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer; alarm ractification,diploma+1year experience in 1year rjil 4g on samsung equipment,telecom   isp,6-12 exp,"bts engineer,,,",0,0,telecom,isp,0,0
10864,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer,be fresher with 4 weeks industrial automation training,telecom   isp,6-12 exp,",4gl,wcdma",0,0,telecom,isp,0,0
10865,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer,b.tech eee,telecom   isp,6-12 exp,", eee",1,0,telecom,isp,0,0
10866,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer operations maintenance,**immediately available** 2 years exp in telecom,telecom   isp,6-12 exp,"technical troubleshooting,,,investigation,,technical support,,integration testing,",1,0,telecom,isp,0,0
10867,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer,,telecom   isp,6-12 exp,"bts,,4g and3g,",0,0,telecom,isp,0,0
10868,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer,,telecom   isp,6-12 exp,gsm;cdma;wimax;micro,0,0,telecom,isp,0,0
10869,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts implementation engineer,,telecom   isp,6-12 exp,"bts installation & c,jboss",0,0,telecom,isp,0,0
10870,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,business development manager,seeking assignments in business development with an organisation of high repute; preferably in telec,telecom   isp,6-12 exp,"instrumentation,business communication,,,implementation,,business analysis,,pic microcontroller",1,0,telecom,isp,0,0
10871,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,care key user sau,,telecom   isp,6-12 exp,"networkings,telecomm,vrf,telecomm network desi,system administratio",0,0,telecom,isp,0,0
10872,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,central pan india coordinator; preventive maintenance; o andm,,telecom   isp,6-12 exp,"traveling,,faultmanagement,,,coordination,ms access",1,0,telecom,isp,0,0
10873,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,change specialist,change specialist,telecom   isp,6-12 exp,",,itil,service delivery",0,0,telecom,isp,0,0
10874,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,2 st level service assurance data+vas,be in electronics &telecommunication with 2.1years of experience in telecomm networking,telecom   isp,6-12 exp,",,",0,0,telecom,isp,0,0
10875,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,airtel bss,abhijit das,telecom   isp,6-12 exp,"bts engineer,bss engineer",0,0,telecom,isp,0,0
10876,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant engineer 1 st level assurance,assistant engineer 1st level assurance,telecom   isp,6-12 exp,"ipv4,volte,mcrnc,wcdma,,bts,gsm,,c language,gsm technology,,u2000",1,1,telecom,isp,0,0
10877,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant manager,engineer,telecom   isp,6-12 exp,"faultmanagement,reporting,operations faultmanagement,cost planning,project planning,materials planning,sap erp,,rf survey,gis portal",1,1,telecom,isp,0,0
10878,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant store manager,,telecom   isp,6-12 exp,2 years idea cellule,0,0,telecom,isp,0,0
10879,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associat engineer,b.tech in electronic & communication,telecom   isp,6-12 exp,optical opretion,1,0,telecom,isp,0,0
10880,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate network engineer,ip mpls noc engineer,telecom   isp,6-12 exp,noc executive,0,0,telecom,isp,0,0
10881,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bss engineer,2.6 years exp in telecom department,telecom   isp,6-12 exp,"gsm,wcdma,zte,bss; bts; rf; dt; bs",0,0,telecom,isp,0,0
10882,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts  and maintenance rf engineer,noc engineer,telecom   isp,6-12 exp,bts installation;int,0,0,telecom,isp,0,0
10883,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts engineer,electronics,telecom   isp,6-12 exp,"cryptography,pchardware",0,0,telecom,isp,0,0
10884,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts engineer,b.tech in ece,telecom   isp,6-12 exp,4g installation; 230,1,0,telecom,isp,0,0
10885,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,rf; emf; ibs  and dt engineer,2+ yrs exp in rf,telecom   isp,6-12 exp,",3g,gprs,hsupa,mapinfo,hsdpa,map info,wcdma",0,0,telecom,isp,0,0
10886,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,surveyor,as a surveyor in  2007 2009 ,telecom   isp,6-12 exp,,0,1,telecom,isp,0,0
10887,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,year experience network support engineer,b.e. entc  with knowledge of ccna,telecom   isp,6-12 exp,senior network suppo,0,1,telecom,isp,0,0
10888,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,year experience telecommunication,2 years experience in telecommunication,telecom   isp,6-12 exp,"gsm,wcdma,",0,0,telecom,isp,0,0
10889,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,alram monitor engineer,surendran eee,telecom   isp,6-12 exp,"electrical testing,,telecom networks,,,alarm monitor,electrical equipment",1,0,telecom,isp,0,0
10890,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,billing  and mis reporting,medical representative,telecom   isp,6-12 exp,medical representati,0,0,telecom,isp,0,0
10891,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer.,eng,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10892,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,telecom   isp,6-12 exp,"telecomm,",0,0,telecom,isp,0,0
10893,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,poject engineer and warehouse co ordinator,telecom   isp,6-12 exp,",tnms,assembling,resolution,bts installation,project engineer,warehouse co ordinat",1,0,telecom,isp,0,0
10894,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,project engineer,telecom   isp,6-12 exp,"idea project,,ceragon link",0,0,telecom,isp,0,0
10895,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,rf survey engineer; bss engineer,telecom   isp,6-12 exp,huawei equipment bts,0,0,telecom,isp,0,0
10896,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10897,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,,telecom   isp,6-12 exp,2 yers,0,0,telecom,isp,0,0
10898,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10899,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,,telecom   isp,6-12 exp,telecom engg,0,0,telecom,isp,1,0.74
10900,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss noc  and engineer,m.tech & b.e.  hons  in ece with 2 yrs experience in telecom & ccna  routing & switching  trained,telecom   isp,6-12 exp,"mis reports,bts,gnoc,jboss,,tnms,",1,1,telecom,isp,0,0
10901,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts rf optimazing maintenence engineer,bts and rf optimazing and maintenence  enguneer,telecom   isp,6-12 exp,",rssu,: bts commissioning,bts optimazing,",1,0,telecom,isp,0,0
10902,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts tn installation comisining,arvind yadav,telecom   isp,6-12 exp,",",0,0,telecom,isp,0,0
10903,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts commissiong,bts eng,telecom   isp,6-12 exp,"bts,mdt,mw link,vrf,integration.atp11b,investigation",0,0,telecom,isp,0,0
10904,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer,electronics and communications engineering,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10905,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer,bts & quality engineer,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10906,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts engineer rf,,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10907,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,carrier relations manager,noc engineer carrier relations manager,telecom   isp,6-12 exp,c++,0,0,telecom,isp,0,0
10908,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,activation officer,,telecom   isp,6-12 exp,"hard worker; good en,telecomm",0,0,telecom,isp,0,0
10909,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,analyst,,telecom   isp,6-12 exp,"telecomm network desi,system administratio,networkings,telecomm",0,0,telecom,isp,0,0
10910,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assising engineer,2.1 years of experience in networking field,telecom   isp,6-12 exp,"autom,gnoc,,tcp ip,vrf,,1,vpns,firewalls,network support",0,1,telecom,isp,0,0
10911,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant rf engineer,rf engineer,telecom   isp,6-12 exp,"rf communications,wireless features te,wireless network ins",0,0,telecom,isp,0,0
10912,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,associate pmo,civil engineer,telecom   isp,6-12 exp,stadd pro,0,0,telecom,isp,0,0
10913,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bachelor degree electronic andcommunication engineer worked rf engineer 1+ months ble,r.f engineer with over 1+ months of in depth experience in the telecom industry. worked on projects,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10914,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts engineer,amit rasume,telecom   isp,6-12 exp,bts engg,0,0,telecom,isp,0,0
10915,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bts transmission engineer,,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10916,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,engineer,more than 2 yrs. experiance in nokia siemens networks as am engineer,telecom   isp,6-12 exp,"automated,,,",0,0,telecom,isp,0,0
10917,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,working wireless network engineer well field support engineer sify technologies,wireless network engineer  field support engineer,telecom   isp,6-12 exp,clicksoftware worksp,0,0,telecom,isp,0,0
10918,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bde,business development executive,telecom   isp,6-12 exp,hardworking goal ori,0,0,telecom,isp,0,0
10919,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,alarming,,telecom   isp,6-12 exp,,0,1,telecom,isp,0,0
10920,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,broadcasting engineer,rahul barde be  electronics engg  passed out 2013,telecom   isp,6-12 exp,"broadcasting,vrf,plc programming ; sc,ob engg,vrf engg",0,0,telecom,isp,0,0
10921,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,telecom   isp,6-12 exp,asp.net mvc,0,0,telecom,isp,0,0
10922,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,telecom   isp,6-12 exp,"jboss,sap scm,3g,,bts,c",1,0,telecom,isp,0,0
10923,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,cv_muneesh tiwari,telecom   isp,6-12 exp,"isup,tcl,awareness,,wireline,omcr monitoring",0,0,telecom,isp,0,0
10924,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,telecom engineer operation & maintenance  o&m engineer  bss engineer,telecom   isp,6-12 exp,",gsm,3g,,jboss engineer,bts installation,,jboss,marconi",0,0,telecom,isp,0,0
10925,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,telecom engineer,telecom   isp,6-12 exp,"3g,bts,networkings,telecomm",0,0,telecom,isp,0,0
10926,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,,telecom   isp,6-12 exp,"gsm,eosdh,pdh,gsm,jboss",0,0,telecom,isp,0,0
10927,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,,telecom   isp,6-12 exp,"telecomm network desi,networkings,telecomm,vrf,system administratio",0,0,telecom,isp,0,0
10928,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss fault management engineer,b.e ece  2yrs exp in telecom industry wipro infotech,telecom   isp,6-12 exp,"embedded systems,gsm,3g,comm. protocols,,,jboss,telelcom concepts,smsc;ss7",0,0,telecom,isp,1,0.76
10929,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,b.tech fresher electronics andtelecom,erp techconsultants,telecom   isp,6-12 exp,",labview,saas,sql server,,vlsi",1,0,telecom,isp,0,0
10930,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bts bss engineer,b.tech in electronics and communication with 2yr experience in telecomm network field,telecom   isp,6-12 exp,"transmission,rf survey,los survey,emf survey,,vswr measurement,drive test",1,0,telecom,isp,0,0
10931,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,call,,telecom   isp,6-12 exp,,0,0,telecom,isp,0,0
10932,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,telecom   isp,6-12 exp,"analytical skills,appointment setting,,studio,communication skills,linux general,system administratio,networkings",0,0,telecom,isp,0,0
